Player	Pos	Tm	Salary_Cap_Million
Rob Gronkowski	TE	NWE	53
Delanie Walker	TE	TEN	37
Terron Armstead	OT	NOR	10
Bobby Massie	T	CHI	80
Brooks Reed	DL	ATL	38
Darius Slay	CB	DET	20
Clint Boling	OL	CIN	3
Dustin Colquitt	P	KAN	47
Terrell Suggs	LB-DE	BAL	13
Marcedes Lewis	TE	JAX	28
Marcus Gilbert	OL	PIT	3
Nigel Bradham	OLB	PHI	31
Robert Ayers	DE	TAM	74
Darren Sproles	RB	PHI	44
Bobby Wagner	ILB	SEA	70
Shawn Lauvao	G	WAS	59
Matt Forte	RB	NYJ	9
Eric Weddle	DB	BAL	38
Torrey Smith	WR	PHI	51
Kenny Britt	WR	2TM	7
Jeremy Lane	CB	SEA	2
George Iloka	FS	CIN	17
Paul Posluszny	LB	JAX	10
Malcolm Butler	CB	NWE	66
Brian Robison	DE	MIN	50
Ron Parker	CB	KAN	15
Allen Bailey	DL	KAN	31
Christian Kirksey	OLB	CLE	69
J.R. Sweezy	G	TAM	40
Jerrell Freeman	LB	CHI	5
Adrian Clayborn	DL	ATL	40
Jordan Reed	TE	WAS	62
Bilal Powell	RB	NYJ	71
Pierre Garcon	WR	SFO	57
Michael Johnson	DE	CIN	16
Tavon Austin	WR	LAR	73
Prince Amukamara	CB	CHI	30
Frank Gore	RB	IND	32
Ben Jones	C	TEN	50
Cole Beasley	WR	DAL	42
Brandon Mebane	DT	LAC	2
Greg Robinson	OT	DET	6
Thomas Davis	LB	CAR	9
Casey Hayward	DB	LAC	39
Blake Bortles	QB	JAX	59
Graham Gano	K	CAR	57
Dan Bailey	K	DAL	23
Richie Incognito	G	BUF	7
Joel Bitonio	OT	CLE	13
Thomas Morstead	P	NOR	36
Matt Prater	K	DET	68
Mark Ingram	RB	NOR	20
Shawn Williams	SS	CIN	1
C.J. Fiedorowicz	TE	HOU	79
Tahir Whitehead	OLB	DET	2
Tony Jefferson	FS	BAL	80
T.J. Ward	DB	TAM	4
Jason Peters	T	PHI	3
Markus Wheaton	WR	CHI	53
Chris Baker	DT	TAM	8
Josh McCown	QB	NYJ	17
Brent Celek	TE	PHI	2
Robert Woods	WR	LAR	77
Terrelle Pryor	QB	WAS	55
Ricky Wagner	OT	DET	72
Russell Okung	T	LAC	12
NaVorro Bowman	LB	2TM	5
Fletcher Cox	DT	PHI	21
Brandon Marshall	WR	NYG	36
Derrick Shelby	DE	ATL	13
William Gholston	DE	TAM	14
Marcus Cooper	CB	CHI	51
Kam Chancellor	DB	SEA	76
Ryan Kalil	C	CAR	49
Johnathan Hankins	DT	IND	67
A.J. Bouye	CB	JAX	64
Orlando Scandrick	DB	DAL	59
T.J. Lang	T	DET	46
Andrew Sendejo	DB	MIN	74
Andre Branch	DE	MIA	12
C.J. Anderson	RB	DEN	11
Steve McLendon	DT	NYJ	18
Colt McCoy	QB	WAS	36
Kevin Huber	P	CIN	35
Brett Kern	P	TEN	4
Virgil Green	TE	DEN	37
Domata Peko	DT	DEN	22
Justin Tucker	K	BAL	15
Jonathan Casillas	LB	NYG	42
William Hayes	DE	MIA	69
Corey Peters	DT	ARI	25
Adam Vinatieri	K	IND	9
Reggie Nelson	DB	OAK	66
Chris Clark	T	HOU	6
Luke Joeckel	OT	SEA	53
Kayvon Webster	CB	LAR	68
Todd Davis	LB	DEN	67
Marcus Williams	CB	2TM	73
Dontrelle Inman	WR	2TM	31
Trey Burton	TE	PHI	17
Wesley Johnson	OT	NYJ	46
Brandon McManus	K	DEN	50
Isaiah Crowell	RB	CLE	42
Andrew Norwell	G	CAR	25
Taylor Gabriel	WR	ATL	10
Adam Thielen	WR	MIN	65
Stephen Gostkowski	K	NWE	15
Travis Kelce	TE	KAN	22
Ramon Foster	T	PIT	65
Dante Fowler	OLB	JAX	66
Dre Kirkpatrick	CB	CIN	31
Drew Stanton	QB	ARI	60
Chris Hogan	WR	NWE	20
Morris Claiborne	CB	NYJ	7
Cordarrelle Patterson	WR	OAK	23
Quintin Demps	DB	CHI	17
Jarius Wright	WR	MIN	39
Jabaal Sheard	DL	IND	2
Brandon Marshall	OLB	DEN	78
Jared Cook	TE	OAK	57
Patrick Chung	DB	NWE	2
Ronald Leary	G	DEN	39
Donald Stephenson	T	DEN	71
Jamar Taylor	CB	CLE	11
Dwayne Allen	TE	NWE	2
Abry Jones	DT	JAX	49
Dwayne Harris	WR	NYG	48
Zane Beadles	T	SFO	47
Emmanuel Lamur	LB	MIN	17
Johnny Hekker	P	LAR	17
Ryan Succop	K	TEN	23
Marquette King	P	OAK	17
Da'Norris Searcy	DB	TEN	4
Terence Newman	DB	MIN	1
Sam Koch	P	BAL	38
Micah Hyde	CB	BUF	62
Tom Johnson	DT	MIN	26
Brian Cushing	LB	HOU	69
Chad Henne	QB	JAX	28
Terrell McClain	DL	WAS	9
Lane Taylor	G	GNB	13
Vincent Rey	LB	CIN	29
Elvis Dumervil	DE	SFO	68
Arthur Moats	LB	PIT	68
James Hanna	TE	DAL	34
Stacy McGee	DT	WAS	10
Sam Martin	P	DET	73
Jermaine Kearse	WR	NYJ	46
Matthew Bosher	P	ATL	52
Wesley Woodyard	LB	TEN	63
Anthony Barr	OLB	MIN	41
Shane Vereen	RB	NYG	7
J.J. Wilcox	S	PIT	72
Vance McDonald	TE	PIT	20
Mike Daniels	DT	GNB	23
Brandon Carr	DB	BAL	45
Ben Ijalana	OL	NYJ	5
Josh Robinson	CB	TAM	14
Connor Barwin	DE	LAR	39
Lorenzo Alexander	LB	BUF	50
Vince Williams	ILB	PIT	31
Clinton McDonald	DT	TAM	14
Justin Bethel	CB	ARI	44
D.J. Hayden	CB	DET	21
Brice McCain	DB	TEN	80
Kyle Juszczyk	FB	SFO	52
Vernon Davis	TE	WAS	66
Matt Slauson	G	LAC	25
Robert Alford	CB	ATL	54
Jermaine Gresham	TE	ARI	12
Johnathan Cyprien	SS	TEN	7
Antoine Bethea	DB	ARI	15
Dion Sims	TE	CHI	15
D.J. Swearinger	FS	WAS	15
Sylvester Williams	DT	TEN	50
Brynden Trawick	S	TEN	12
Danny Trevathan	OLB	CHI	34
William Gay	DB	PIT	51
Paul Worrilow	LB	DET	52
J.C. Tretter	OG	CLE	2
Phil Dawson	K	ARI	51
Ted Ginn	WR	NOR	44
Taylor Lewan	OT	TEN	68
Kenny Stills	WR	MIA	18
Ed Dickson	TE	CAR	8
Marcus Sherels	DB	MIN	37
Marquise Goodwin	WR	SFO	33
Kurt Coleman	LB	CAR	79
Everson Griffen	DE	MIN	73
Brad Nortman	P	JAX	50
Landry Jones	QB	PIT	64
Odell Beckham	WR	NYG	2
Aaron Donald	DT	LAR	18
Rex Burkhead	RB	NWE	13
Telvin Smith	ILB	JAX	59
Maurice Alexander	SS	LAR	51
Michael Schofield	OT	LAC	20
Devon Kennard	OLB	NYG	27
William Compton	LB	WAS	1
E.J. Gaines	CB	BUF	70
Korey Toomer	ILB	LAC	39
Donte Moncrief	WR	IND	67
Kerry Wynn	DE	NYG	60
John Brown	WR	ARI	38
Avery Williamson	ILB	TEN	50
Kevin Pamphile	OT	TAM	31
Shamar Stephen	DT	MIN	1
Russell Bodine	OG	CIN	68
Anthony Hitchens	OLB	DAL	17
Justin Ellis	DT	OAK	42
Aaron Colvin	CB	JAX	55
Damien Williams	RB	MIA	21
Chris Hubbard	G	PIT	51
Michael Thomas	S	MIA	9
DaQuan Jones	DT	TEN	9
Ryan Jensen	T	BAL	61
Cameron Fleming	OT	NWE	49
Terrance West	RB	BAL	67
Charles Leno	OG	CHI	63
Bashaud Breeland	CB	WAS	38
Aaron Lynch	DE	SFO	68
T.J. Carrie	CB	OAK	37
Denico Autry	DE	OAK	17
Andre Hal	CB	HOU	40
Albert Wilson	WR	KAN	47
Corey Linsley	C	GNB	63
Nevin Lawson	CB	DET	5
Zach Fulton	OG	KAN	42
Spencer Long	OG	WAS	12
Richard Rodgers	TE	GNB	24
Travis Swanson	C	DET	72
Preston Brown	ILB	BUF	42
Ryan Fitzpatrick	QB	TAM	34
Alan Branch	DT	NWE	79
Joe Hawley	G	TAM	63
Allen Barbre	T	DEN	70
Niles Paul	WR	WAS	65
Matt Moore	QB	MIA	28
Matt Cassel	QB	TEN	64
Scott Tolzien	QB	IND	80
Ereck Flowers	OT	NYG	25
Kyle Fuller	CB	CHI	17
Jared Goff	QB	LAR	77
Ryan Shazier	OLB	PIT	23
Max Unger	C	NOR	72
Zach Strief	G	NOR	37
Larry Warford	OG	NOR	15
A.J. Klein	ILB	NOR	73
Ryan Hewitt	FB	CIN	60
Luke Stocker	TE	2TM	26
Todd Gurley	RB	LAR	65
Carson Wentz	QB	PHI	57
Earl Mitchell	DT	SFO	80
Josh Hill	TE	NOR	30
Britton Colquitt	P	CLE	65
Zack Martin	OT	DAL	62
C.J. Mosley	ILB	BAL	78
Trae Waynes	CB	MIN	22
Giovani Bernard	RB	CIN	13
Steven Hauschka	K	BUF	43
Eric Ebron	TE	DET	44
Calvin Pryor	FS	JAX	65
Ezekiel Elliott	RB	DAL	34
Ja'Wuan James	OT	MIA	25
Josh Martin	LB	NYJ	16
Derek Anderson	QB	CAR	20
Zach Brown	OLB	WAS	14
Garrett Celek	TE	SFO	80
Desmond Trufant	CB	ATL	53
Austin Howard	T	BAL	9
Jalen Ramsey	FS	JAX	26
Keenan Robinson	OLB	NYG	6
Bryan Anger	P	TAM	35
Davon House	DB	GNB	19
Shane Lechler	P	HOU	28
Zach Miller	TE	CHI	43
Jordan Poyer	CB	BUF	13
Mike Gillislee	RB	NWE	12
Kelvin Beachum	T	NYJ	4
D.J. Fluker	OT	NYG	75
Levine Toilolo	TE	ATL	18
Jason McCourty	DB	CLE	78
Lerentee McCray	LB	JAX	19
Jahleel Addae	S	LAC	60
Chris Hairston	OL	LAC	40
Alejandro Villanueva	OL	PIT	21
Duron Harmon	FS	NWE	76
Ryan Groy	OG	BUF	34
Robbie Gould	K	SFO	60
Jamize Olawale	FB	OAK	42
Benson Mayowa	DE	DAL	76
Menelik Watson	OT	DEN	8
Barkevious Mingo	OLB	IND	53
John Simon	DE	IND	64
Anthony Fasano	TE	MIA	37
Chris Conte	DB	TAM	72
Danny Shelton	DT	CLE	8
Jermon Bushrod	T	MIA	36
Deone Bucannon	SS	ARI	34
Jeff Heath	S	DAL	33
Andrus Peat	OT	NOR	64
Robert Golden	S	PIT	40
Matt Bryant	K	ATL	21
DeVante Parker	WR	MIA	66
Melvin Gordon	RB	LAC	76
Mike Remmers	T	MIN	80
Josh Kline	OL	TEN	50
Garry Gilliam	T	SFO	34
Jurrell Casey	DL	TEN	38
Alex Boone	T	ARI	17
Nate Allen	DB	MIA	66
Ronnie Stanley	OT	BAL	65
Greg Zuerlein	K	LAR	78
Eddie Lacy	RB	SEA	16
Teddy Bridgewater	QB	MIN	79
Marcus Cannon	OL	NWE	68
Jordan Mills	OT	BUF	59
Michael Hoomanawanui	TE	NOR	37
Marshawn Lynch	RB	OAK	63
Eric Decker	WR	TEN	55
Erik Walden	DE	TEN	17
Nathan Stupar	OLB	NOR	45
Kevin Johnson	CB	HOU	48
Arik Armstead	DE	SFO	26
Marcus Peters	CB	KAN	63
T.J. Johnson	C	CIN	62
Nick Perry	DE	GNB	14
Sean Lee	LB	DAL	47
Patrick DiMarco	FB	BUF	5
Andre Roberts	WR	ATL	13
Johnson Bademosi	DB	NWE	5
Devonta Freeman	RB	ATL	27
Morgan Moses	OT	WAS	38
Travis Frederick	C	DAL	50
Cameron Erving	OT	KAN	41
Nelson Agholor	WR	PHI	18
Cedric Ogbuehi	OT	CIN	60
Ethan Westbrooks	DE	LAR	51
DeForest Buckner	DE	SFO	3
Tyron Smith	OT	DAL	7
Senio Kelemete	T	NOR	48
Bud Dupree	DE	PIT	59
Shane Ray	DE	DEN	61
Tyler Bray	QB	KAN	31
Joe Haden	DB	PIT	12
Karl Klug	DL	TEN	26
Akeem Spence	DT	DET	80
Kemal Ishmael	DB	ATL	55
Dont'a Hightower	ILB	NWE	43
Ben Watson	TE	BAL	35
Chris Maragos	DB	PHI	2
Kyle Wilber	OLB	DAL	25
Andre Smith	T	CIN	20
Michael Brockers	DT	LAR	57
Daren Bates	LB	TEN	80
Jack Crawford	DE	ATL	31
Brandon LaFell	WR	CIN	74
Danny Amendola	WR	NWE	25
Al Woods	DT	IND	58
Tyson Alualu	DT	PIT	60
Jason Pierre-Paul	DE	NYG	73
Aldrick Robinson	WR	SFO	75
Kendall Wright	WR	CHI	10
Donnie Jones	P	PHI	2
D.J. Humphries	OT	ARI	76
Cornelius Washington	DE	DET	26
Shaq Thompson	OLB	CAR	66
Breshad Perriman	WR	BAL	44
Mason Foster	LB	WAS	57
Byron Jones	CB	DAL	21
Laken Tomlinson	OG	SFO	29
Darrius Heyward-Bey	WR	PIT	6
Harry Douglas	WR	TEN	5
Ryan Allen	P	NWE	42
Dion Lewis	RB	NWE	55
Marcus Gilchrist	DB	HOU	35
Alfred Morris	RB	DAL	70
Xavier Su'a-Filo	OG	HOU	20
Phillip Dorsett	WR	NWE	28
Jack Conklin	OT	TEN	54
Demarcus Lawrence	DE	DAL	51
Leonard Floyd	OLB	CHI	57
Damarious Randall	FS	GNB	79
Eric Wood	C	BUF	30
Jahri Evans	T	GNB	22
Linval Joseph	DT	MIN	29
Eli Apple	CB	NYG	11
Malcom Brown	DT	NWE	52
Marqise Lee	WR	JAX	58
Brad Wing	P	NYG	28
Cody Davis	S	LAR	78
Lamarcus Joyner	CB	LAR	48
Craig Robertson	LB	NOR	76
Demetrius Harris	TE	KAN	27
Russell Shepard	WR	CAR	33
Jonathan Stewart	RB	CAR	68
DeAngelo Hall	DB	WAS	7
Margus Hunt	DE	IND	33
Jacquizz Rodgers	RB	TAM	25
Tress Way	P	WAS	35
Anthony Sherman	RB	KAN	18
L.P. Ladouceur	LS	DAL	20
Tank Carradine	DE	SFO	34
David DeCastro	G	PIT	41
Jordan Matthews	WR	BUF	24
Vernon Hargreaves	CB	TAM	11
Weston Richburg	C	NYG	33
Eddie Pleasant	SS	HOU	38
Kiko Alonso	ILB	MIA	46
Theo Riddick	RB	DET	77
Josh Gordon	WR	CLE	65
Paul Richardson	WR	SEA	47
Marshall Newhouse	GT	OAK	25
DeShawn Shead	DB	SEA	75
Sheldon Rankins	DT	NOR	40
Bradley Roby	CB	DEN	4
Timmy Jernigan	DT	PHI	26
Laremy Tunsil	OT	MIA	3
Stephone Anthony	ILB	MIA	18
Charles Johnson	DE	CAR	72
Brock Coyle	LB	SFO	45
Lawrence Timmons	LB	MIA	18
Dekoda Watson	LB	SFO	20
Brian Winters	OG	NYJ	21
Matt Kalil	OT	CAR	43
Frostee Rucker	DE	ARI	45
Nick Foles	QB	PHI	78
Corey Graham	DB	PHI	40
Kelvin Benjamin	WR	2TM	25
Ross Cockrell	CB	NYG	62
Pat Sims	DT	CIN	43
Ryan Mallett	QB	BAL	56
Sherrick McManis	DB	CHI	66
Karlos Dansby	LB	ARI	43
Willie Young	DE	CHI	47
La'el Collins	OT	DAL	61
Daniel Kilgore	OL	SFO	35
Mike Adams	DB	CAR	60
Luke Willson	TE	SEA	56
Byron Bell	T	DAL	56
Eric Weems	WR	TEN	51
Tom Compton	T	CHI	41
David Harris	LB	NWE	8
Mario Addison	DE	CAR	68
Beau Brinkley	LSTE	TEN	45
Jeremy Maclin	WR	BAL	55
Lance Dunbar	RB	LAR	66
Kellen Clemens	QB	LAC	14
Terrance Williams	WR	DAL	24
Justin Durant	LB	DAL	10
Alshon Jeffery	WR	PHI	24
Breno Giacomini	G	HOU	74
Christian Jones	ILB	CHI	54
Stephon Tuitt	DT	PIT	43
Don Muhlbach	C	DET	34
Lee Smith	TE	OAK	21
Kamar Aiken	WR	IND	79
Mason Crosby	K	GNB	75
Danny Woodhead	RB	BAL	14
Chris Long	DE	PHI	60
Jon Ryan	P	SEA	28
Tramon Williams	DB	ARI	73
Derrick Johnson	LB	KAN	12
Zak DeOssie	LB	NYG	55
Tom Brady	QB	NWE	56
Adrian Peterson	RB	2TM	51
Kasim Edebali	OLB	2TM	27
Stephen Paea	DT	DAL	11
Tyvon Branch	DB	ARI	21
Julius Peppers	DE	CAR	44
Anthony Castonzo	OL	IND	80
Matthew Stafford	QB	DET	70
Darius Butler	DB	IND	31
Jack Doyle	TE	IND	34
Joe Berger	T	MIN	7
Andy Lee	P	ARI	36
Mitch Unrein	DT	CHI	72
Jonathan Cooper	OG	DAL	1
Ryan Schraeder	T	ATL	36
Jon Condo	LB	OAK	3
Nick Folk	K	TAM	26
Brandon Fusco	OL	SFO	17
Zach Kerr	NT	DEN	37
Nolan Carroll	DB	DAL	33
John Kuhn	FB	NOR	52
Ahmad Brooks	LB	GNB	2
Keenan Allen	WR	LAC	62
Jeremiah Attaochu	OLB	LAC	61
Landon Collins	SS	NYG	24
Kyle Van Noy	OLB	NWE	7
Karl Joseph	SS	OAK	22
Darqueze Dennard	CB	CIN	42
Donovan Smith	OT	TAM	16
Mario Edwards	DE	OAK	67
Corey Coleman	WR	CLE	8
Rhett Ellison	FB	NYG	19
Ted Larsen	C	MIA	43
Don Carey	DB	DET	75
Kyle Nelson	TE	SFO	54
T.J. Yeldon	RB	JAX	61
Troy Niklas	TE	ARI	75
Preston Smith	DE	WAS	9
Dee Ford	DE	KAN	61
Davante Adams	WR	GNB	12
Eddie Goldman	DT	CHI	65
Case Keenum	QB	MIN	10
Derek Carrier	WR	LAR	8
Jayrone Elliott	LB	DAL	51
Reshad Jones	DB	MIA	8
Taylor Decker	OT	DET	52
T.J. McDonald	FS	MIA	56
Keanu Neal	FS	ATL	58
Austin Seferian-Jenkins	TE	NYJ	14
Alex Okafor	DE	NOR	68
Cody Latimer	WR	DEN	53
Ryan Kelly	C	IND	4
John Jerry	G	NYG	41
Benardrick McKinney	ILB	HOU	75
Shaq Lawson	DE	BUF	76
Darron Lee	OLB	NYJ	20
Hau'oli Kikaha	OLB	NOR	54
Will Fuller	WR	HOU	13
Antonio Brown	WR	PIT	23
Jack Mewhort	OT	IND	35
Josh Doctson	WR	WAS	18
Eric Kendricks	ILB	MIN	28
Laquon Treadwell	WR	MIN	2
Rey Maualuga	LB	MIA	66
Eric Berry	DB	KAN	19
Mike Tolbert	RB	BUF	17
Anthony Levine	S	BAL	16
Captain Munnerlyn	DB	CAR	21
Ramon Humber	LB	BUF	39
Kendall Langford	DE	HOU	58
Tavon Wilson	FS	DET	48
Joe Webb	WR	BUF	8
LeGarrette Blount	RB	PHI	4
Morgan Cox	C	BAL	6
Demario Davis	OLB	NYJ	63
Phillip Supernaw	TE	TEN	78
Tramaine Brock	DB	MIN	20
Sam Young	T	MIA	50
Connor Barth	K	CHI	22
Jon Weeks	C	HOU	18
Nick Sundberg	C	WAS	52
Frank Zombo	LB	KAN	44
Alterraun Verner	DB	MIA	33
Garrison Sanborn	C	TAM	13
Latavius Murray	RB	MIN	79
J.J. Jansen	C	CAR	30
Brett Goode	LB	GNB	41
Chandler Catanzaro	K	NYJ	71
Martellus Bennett	TE	2TM	53
Lamarr Houston	DT	2TM	38
Jamaal Charles	RB	DEN	22
Lawrence Guy	DT	NWE	33
John Sullivan	C	LAR	24
Matt Slater	WR	NWE	61
Evander Hood	DT	WAS	78
Brandon Tate	WR	BUF	12
Roy Miller	DT	KAN	77
Blaine Gabbert	QB	ARI	20
Glover Quin	DB	DET	12
Colt Anderson	DB	BUF	77
Caleb Sturgis	K	PHI	34
Mike Windt	C	LAC	10
John Denney	DE-C	MIA	2
Chase Daniel	QB	NOR	51
Darren McFadden	RB	DAL	59
Lardarius Webb	DB	BAL	28
Allen Robinson	WR	JAX	64
Jarvis Landry	WR	MIA	65
Justin Britt	OT	SEA	25
William Jackson	CB	CIN	57
Michael Floyd	WR	MIN	48
Artie Burns	CB	PIT	48
Darryl Tapp	DE	TAM	43
Jeremy Hill	RB	CIN	35
Paxton Lynch	QB	DEN	21
Eric Rowe	CB	NWE	11
Kenny Clark	DT	GNB	6
Ryan Griffin	TE	HOU	49
Jason Verrett	CB	LAC	78
Fozzy Whittaker	RB	CAR	6
Manti Te'o	ILB	NOR	7
Colton Schmidt	P	BUF	8
LaRoy Reynolds	LB	ATL	46
Chris Banjo	S	NOR	8
Nate Palmer	LB	TEN	57
Vlad Ducasse	G	BUF	16
Matt Tobin	T	SEA	7
Chris Johnson	RB	ARI	51
Nate Orchard	OLB	CLE	67
Robert Nkemdiche	DT	ARI	28
Keith Tandy	S	TAM	52
Devin Funchess	WR	CAR	48
Mitch Morse	OT	KAN	78
Denzel Perryman	ILB	LAC	12
Vernon Butler	DT	CAR	48
Jordan Phillips	DT	MIA	59
Germain Ifedi	OT	SEA	65
Nate Ebner	DB	NWE	54
Carlos Hyde	RB	SFO	15
Jimmy Garoppolo	QB	SFO	79
Kony Ealy	DE	NYJ	77
Maxx Williams	TE	BAL	17
Ronald Darby	CB	PHI	57
Michael Wilhoite	LB	SEA	78
Sealver Siliga	DT	TAM	22
Neiko Thorpe	DB	SEA	40
Lance Kendricks	TE	GNB	72
Bradley McDougald	FS	SEA	15
Shareece Wright	DB	BUF	34
LaAdrian Waddle	T	NWE	66
Joe Looney	G	DAL	5
Kevin Minter	ILB	CIN	69
James Develin	RB	NWE	54
Robert Turbin	RB	IND	56
Andre Holmes	WR	BUF	2
Chris Jones	P	DAL	41
Brice Butler	WR	DAL	19
Blair Walsh	K	SEA	71
Trai Turner	OG	CAR	48
Rob Havenstein	OT	LAR	7
Ricky Jean-Francois	DT	2TM	41
Billy Turner	OT	DEN	70
Jaquiski Tartt	SS	SFO	5
Markus Golden	OLB	ARI	47
Ty Sambrailo	OT	ATL	41
Brandin Cooks	WR	NWE	38
Josh Harris	LS	ATL	31
Ha Ha Clinton-Dix	FS	GNB	3
Quinten Rollins	CB	GNB	68
Quinton Dial	DE	GNB	77
