name	age	height_cm	weight_kgs	positions	nationality	overall_rating	potential	preferred_foot	international_reputation(1-5)	weak_foot(1-5)	skill_moves(1-5)
Kepa	24	185.42	84.8	GK	Spain	84	90	Right	1	4	1
H. Ziyech	25	154.94	64.9	CAM,RW	Morocco	84	86	Left	3	2	4
Fabinho	25	187.96	78	CDM	Brazil	84	88	Right	3	2	3
A. Martial	23	182.88	76.2	LW,ST,LM	France	84	90	Right	3	3	4
T. Werner	23	154.94	74.8	ST	Germany	84	87	Right	3	4	3
N. SÃ¼le	23	195.58	97.1	CB	Germany	84	90	Right	2	3	2
Bruno Fernandes	24	152.4	68.9	CAM,CM	Portugal	84	88	Right	2	3	4
Alex Telles	26	154.94	71.2	LB	Brazil	84	86	Left	3	2	3
J. GimÃ©nez	24	185.42	79.8	CB	Uruguay	84	88	Right	2	3	2
N. Fekir	25	172.72	74.8	CAM	France	84	88	Left	3	3	4
D. SÃ¡nchez	22	187.96	78.9	CB	Colombia	84	88	Right	2	3	2
Marco Asensio	23	182.88	76.2	LW,RW	Spain	84	89	Left	3	3	4
O. DembÃ©lÃ©	21	152.4	67.1	RW,LW	France	84	92	Left	3	5	4
Iniesta	34	170.18	68	CM,LM	Spain	85	85	Right	4	4	4
Z. IbrahimoviÄ‡	37	195.58	94.8	ST	Sweden	85	85	Right	5	4	5
Jorginho	27	154.94	67.1	CM	Italy	83	84	Right	2	3	3
E. ViÅ¡Ä‡a	29	172.72	63	RM,RW	Bosnia Herzegovina	83	83	Right	2	4	4
S. Gnabry	23	175.26	74.8	LM,RM,CAM,LW	Germany	83	87	Right	2	4	4
M. KovaÄiÄ‡	24	175.26	78	CM	Croatia	83	89	Right	3	4	4
William Carvalho	26	187.96	83	CDM,CM	Portugal	83	86	Right	3	4	3
Felipe	29	190.5	86.2	CB	Brazil	83	84	Right	3	3	2
Y. Carrasco	25	154.94	73	LM	Belgium	83	86	Right	3	4	4
Lucas VÃ¡zquez	27	172.72	69.9	RW,RM	Spain	83	83	Right	2	4	4
Q. Promes	27	175.26	72.1	LM,ST,RM	Netherlands	83	83	Right	2	4	5
L. Goretzka	24	187.96	78.9	CM,CAM,CDM	Germany	83	88	Right	3	4	3
A. Rabiot	23	193.04	79.8	CM,CDM	France	83	87	Left	2	3	3
A. Romagnoli	24	187.96	78	CB	Italy	83	90	Left	2	3	2
JoÃ£o Cancelo	24	182.88	73.9	RB	Portugal	83	89	Right	2	3	4
Anderson Talisca	25	190.5	79.8	CAM	Brazil	83	87	Left	2	4	4
K. Coman	22	152.4	71.2	LM,RM,LW,RW	France	83	88	Right	2	3	5
T. Lemar	23	170.18	62.1	LM,CAM,RM	France	83	89	Left	3	2	4
J. Tah	23	195.58	97.1	CB	Germany	82	87	Right	2	4	2
M. Politano	25	170.18	67.1	RM,LM,ST	Italy	82	85	Left	2	4	4
C. Lenglet	23	185.42	81.2	CB	France	82	88	Left	1	4	2
Pau LÃ³pez	24	187.96	77.1	GK	Spain	82	87	Left	1	3	1
H. Lozano	23	175.26	69.9	RW,LW	Mexico	82	87	Right	3	4	4
Malcom	22	172.72	73.9	RW	Brazil	82	89	Left	2	4	4
L. Torreira	23	167.64	64	CDM,CM	Uruguay	82	87	Right	2	3	3
GonÃ§alo Guedes	22	152.4	68	LM,ST,RM,LW	Portugal	82	86	Right	1	4	4
G. Lo Celso	22	175.26	69.9	CM,CAM,CDM	Argentina	82	88	Left	1	3	4
FabiÃ¡n	22	187.96	69.9	CM,CDM,CAM	Spain	82	90	Left	1	4	4
F. de Jong	21	154.94	69.9	CM,CDM,CB	Netherlands	82	89	Right	1	3	4
Raphaelito Anjos	31	190.5	84.8	GK	Brazil	82	82	Right	1	2	1
Juiano Mestres	35	154.94	82.1	CB,CDM	Brazil	82	82	Right	1	3	2
Rosberto Dourado	31	175.26	69.9	CDM,CM	Brazil	82	82	Right	1	4	2
Arthur	22	170.18	73	CM	Brazil	82	90	Right	1	3	4
Rodri	22	190.5	82.1	CM,CDM	Spain	82	87	Right	1	3	4
M. Parolo	34	182.88	74.8	CDM,CM	Italy	82	82	Right	2	4	3
M. Kruse	30	154.94	76.2	CF,ST,CAM	Germany	82	82	Left	2	4	4
J. Henderson	28	182.88	79.8	CDM,CM	England	82	82	Right	2	3	3
N. GaitÃ¡n	31	172.72	66.2	CAM	Argentina	82	82	Left	3	2	4
M. ArnautoviÄ‡	29	193.04	83	ST	Austria	82	82	Right	3	4	4
S. Giovinco	32	162.56	60.8	CF,ST	Italy	82	82	Right	2	4	4
G. SigurÃ°sson	29	185.42	77.1	CAM	Iceland	82	82	Right	3	4	3
Giuliano	28	172.72	68	CAM,RW	Brazil	82	82	Right	2	3	4
P. GulÃ¡csi	28	193.04	86.2	GK	Hungary	82	83	Right	2	2	1
Luiz Gustavo	31	187.96	78	CDM,CB	Brazil	82	82	Left	3	3	3
K. Trippier	28	152.4	72.1	RB,RWB	England	82	82	Right	2	4	3
A. Ramsey	28	182.88	76.2	CM,CDM,CAM	Wales	82	82	Right	3	3	3
M. Balotelli	28	187.96	88	ST	Italy	82	82	Right	4	4	4
Marlos	30	175.26	68.9	RM	Ukraine	82	82	Left	2	4	5
Taison	31	172.72	64	LM,CAM	Brazil	82	82	Right	2	3	4
G. Bonaventura	29	154.94	74.8	CM,LW	Italy	82	82	Right	3	3	4
G. Kondogbia	26	187.96	79.8	CM,CDM	Central African Rep.	81	84	Left	2	2	4
J. Roussillon	26	175.26	79.8	LB,LWB,LM	France	81	83	Left	2	3	3
S. Zaza	27	185.42	83.9	ST	Italy	81	82	Left	2	3	4
S. Vrsaljko	27	154.94	76.2	RB	Croatia	81	81	Right	2	3	3
C. Kramer	28	190.5	76.2	CDM,CM	Germany	81	82	Right	2	3	3
B. Mendy	24	185.42	84.8	LB	France	81	86	Left	2	3	3
M. Sabitzer	24	152.4	77.1	CAM,CM	Austria	81	84	Right	2	4	3
M. NastasiÄ‡	25	187.96	83	CB	Serbia	81	84	Left	2	2	2
A. Plea	25	154.94	78.9	ST,LW	France	81	83	Right	2	3	4
M. Ginter	25	187.96	83	CB,CDM	Germany	81	83	Right	2	3	2
Gerard Moreno	26	154.94	77.1	ST	Spain	81	83	Left	1	4	4
A. DoucourÃ©	26	182.88	76.2	CDM,CM	France	81	85	Right	2	3	3
R. Guerreiro	25	170.18	71.2	LM,LB,CM	Portugal	81	84	Left	3	2	4
Ricardo Pereira	25	175.26	69.9	RB,RM	Portugal	81	84	Right	3	4	3
Samu Castillejo	24	182.88	67.1	RM,LM,CM	Spain	81	85	Left	2	2	4
J. Brandt	22	185.42	83.9	LM,RM,CAM	Germany	81	88	Right	2	4	4
N. PÃ©pÃ©	23	182.88	73	RM,RW,ST	Ivory Coast	80	88	Left	1	3	4
S. Bergwijn	21	152.4	78	LW,RW	Netherlands	80	86	Right	1	2	4
A. Onana	22	187.96	93	GK	Cameroon	80	85	Right	2	3	1
F. Balbuena	27	187.96	84.8	CB	Paraguay	80	83	Right	1	3	2
AndrÃ© Silva	23	185.42	78.9	ST	Portugal	80	87	Right	2	3	4
Oyarzabal	21	154.94	78	LW,LM,RW	Spain	80	87	Left	1	3	3
Everton AndrÃ£o	35	152.4	74.8	CDM,CM	Brazil	80	80	Right	1	4	2
Welington Dano	31	152.4	68.9	LB,LM	Brazil	80	80	Left	1	4	4
Richarlison	21	154.94	71.2	ST,LW,LM	Brazil	80	86	Right	1	5	4
Odriozola	23	175.26	66.2	RB	Spain	80	88	Right	1	3	3
Carlos Soler	22	154.94	76.2	RM,CM	Spain	80	87	Right	1	4	4
H. Aouar	20	175.26	69.9	CM,LM	France	80	90	Right	1	4	4
T. Ndombele	22	154.94	76.2	CM,CDM	France	80	89	Right	1	3	4
M. GÃ³mez	22	185.42	83.9	ST	Uruguay	80	85	Right	1	3	4
JoaquÃ­n	37	152.4	74.8	LM,ST,RM	Spain	81	81	Right	2	3	4
J. Mathieu	35	187.96	83.9	CB	France	81	81	Left	3	2	2
J. Matip	27	193.04	89.8	CB	Cameroon	80	82	Right	2	2	2
S. Aurier	26	175.26	76.2	RB,RWB	Ivory Coast	80	83	Right	2	3	3
J. Guilavogui	28	187.96	77.1	CDM,CM	France	80	81	Right	2	3	2
A. Oxlade-Chamberlain	25	175.26	69.9	CM,RM	England	80	85	Right	2	4	4
M. Ryan	26	182.88	82.1	GK	Australia	80	83	Right	1	4	1
V. Aboubakar	27	182.88	82.1	ST	Cameroon	80	81	Right	3	3	5
L. Muriel	27	152.4	78.9	ST	Colombia	80	81	Right	2	4	4
D. Vida	29	182.88	76.2	CB,RB	Croatia	80	80	Right	3	3	2
Ibai GÃ³mez	29	152.4	72.1	RM,RW,LM	Spain	80	80	Right	1	5	3
Cristian Tello	27	152.4	64.9	LM,RM	Spain	80	80	Right	2	4	4
Ismaily	29	152.4	82.1	LB	Brazil	80	80	Left	1	2	4
A. Mandi	27	182.88	78	CB	Algeria	80	83	Right	1	3	2
C. TÄƒtÄƒruÅŸanu	33	195.58	86.2	GK	Romania	80	80	Right	2	3	1
J. Murillo	26	182.88	78	CB	Colombia	80	84	Right	2	2	2
E. Dier	25	187.96	89.8	CDM,CB,CM	England	80	84	Right	2	3	2
J. Butland	25	195.58	94.8	GK	England	80	85	Right	2	3	1
S. Sorrentino	39	185.42	84.8	GK	Italy	80	80	Right	2	3	1
W. Rooney	33	175.26	83	ST	England	80	80	Right	4	4	3
MoyÃ¡	34	187.96	83	GK	Spain	80	80	Right	2	2	1
L. LÃ³pez	36	175.26	72.1	ST	Argentina	80	80	Right	2	4	4
J. Mascherano	34	175.26	73	CDM,CB	Argentina	80	80	Right	4	3	2
Raffael	33	175.26	68.9	CF,ST	Brazil	80	80	Right	2	4	4
Diego LÃ³pez	37	195.58	88.9	GK	Spain	80	80	Right	3	3	1
Juanfran	34	154.94	71.2	RB	Spain	80	80	Right	3	3	3
I. Denisov	34	175.26	69.9	CDM	Russia	80	80	Right	2	3	3
I. Akinfeev	32	185.42	78	GK	Russia	80	80	Right	3	3	1
A. Gignac	33	187.96	91.2	ST	France	80	80	Right	3	3	3
A. Granqvist	33	193.04	83.9	CB	Sweden	80	80	Right	2	4	2
Manuel Fernandes	33	175.26	74.8	LM,CAM	Portugal	80	80	Right	2	4	4
Dante	35	187.96	84.8	CB	Brazil	80	80	Left	3	4	2
L. Perrin	33	154.94	79.8	CB	France	80	80	Right	2	3	2
Borja Valero	34	175.26	73	CAM,CDM	Spain	80	80	Right	3	4	4
A. Januzaj	24	185.42	76.2	RW,RM	Belgium	79	85	Left	1	4	4
J. Hector	28	185.42	74.8	LB,CDM	Germany	79	79	Left	3	3	3
M. Dabbur	26	182.88	76.2	ST	Israel	79	81	Right	2	4	4
Ã“liver Torres	24	175.26	63	CM	Spain	79	84	Right	3	4	3
Y. Bounou	27	193.04	78	GK	Morocco	79	82	Left	1	3	1
J. Hofmann	26	175.26	69.9	CAM,RM,LM	Germany	79	80	Right	2	4	3
OtÃ¡vio	24	172.72	71.2	RM,CAM,CM	Brazil	79	85	Right	1	3	4
Jonny	25	170.18	69.9	LWB	Spain	79	83	Right	2	3	4
L. Dendoncker	23	187.96	88	CDM,CB,CM	Belgium	79	85	Right	2	4	2
R. Zobnin	25	182.88	74.8	CDM,CM,LM	Russia	79	86	Right	1	3	4
Ricardo Horta	24	172.72	63	LM	Portugal	79	84	Right	1	3	3
Thiago Mendes	26	152.4	79.8	CDM,CM,RM	Brazil	79	83	Right	1	3	4
J. Lerma	24	152.4	69.9	CDM,CM	Colombia	79	83	Right	1	4	3
J. Gbamin	23	185.42	83	CDM,CM,CB	Ivory Coast	79	84	Right	1	3	3
I. Marcone	28	182.88	83	CDM	Argentina	79	80	Right	1	3	3
D. Benedetto	28	152.4	79.8	ST	Argentina	79	79	Right	2	5	3
M. Hitz	31	193.04	88.9	GK	Switzerland	79	79	Right	2	3	1
N. Clyne	27	175.26	67.1	RB	England	79	80	Right	2	2	3
A. LjajiÄ‡	27	182.88	73.9	CAM,LW	Serbia	79	80	Right	2	4	4
J. GuÃ°mundsson	28	152.4	77.1	RM,LM	Iceland	79	79	Left	1	4	4
Elkeson	29	154.94	77.1	ST,CAM	Brazil	79	79	Right	2	4	4
Kike GarcÃ­a	29	185.42	78.9	ST	Spain	79	79	Right	1	4	3
Escudero	29	175.26	72.1	LB,LM	Spain	79	79	Left	1	2	3
HerrerÃ­n	31	187.96	94.8	GK	Spain	79	79	Right	1	3	1
VÃ­ctor Ruiz	30	185.42	78	CB	Spain	79	79	Left	2	2	2
G. Medel	31	170.18	64.9	CDM,CB	Chile	79	79	Right	3	4	3
Y. Belhanda	29	152.4	74.8	CAM,LW	Morocco	79	79	Right	2	4	4
Hugo Mallo	27	175.26	72.1	RB	Spain	79	79	Right	2	3	3
Borja GarcÃ­a	28	175.26	72.1	LM,CM	Spain	79	79	Right	1	3	3
W. Khazri	28	175.26	82.1	ST,CF,CAM,LM	Tunisia	79	79	Right	1	4	4
P. Jones	27	185.42	71.2	CB	England	79	80	Right	2	3	2
A. Finnbogason	30	182.88	79.8	ST	Iceland	79	79	Right	2	4	3
VinÃ­cius JÃºnior	18	175.26	73	LW,RW	Brazil	78	92	Right	1	4	5
Junior Firpo	22	182.88	74.8	LWB,LB,CB,LM	Spain	78	85	Left	1	3	3
E. BelÃ¶zoÄŸlu	38	170.18	72.1	CM,CDM	Turkey	79	79	Left	2	4	4
Fernando Torres	34	185.42	78.9	ST	Spain	79	79	Right	3	4	3
B. Schweinsteiger	34	182.88	78.9	CDM,CB,CM	Germany	79	79	Right	4	3	3
B. YÄ±lmaz	33	187.96	77.1	ST	Turkey	79	79	Right	2	3	3
M. GÃ³mez	33	187.96	88.9	ST	Germany	79	79	Right	3	4	3
A. Young	33	175.26	64.9	RB,LB	England	79	79	Right	2	3	4
R. Babel	32	185.42	84.8	LW	Netherlands	79	79	Right	3	3	4
B. Costil	31	187.96	88	GK	France	79	79	Right	2	3	1
S. Kalou	33	182.88	77.1	LM,ST,RM	Ivory Coast	79	79	Right	3	3	4
E. Lavezzi	33	172.72	74.8	ST,CAM	Argentina	79	79	Right	3	4	4
H. Ben Arfa	32	152.4	73.9	CAM,ST	France	79	79	Left	3	4	5
B. Foster	35	193.04	89.8	GK	England	79	79	Left	2	3	1
T. Heaton	32	187.96	92.1	GK	England	79	79	Right	2	3	1
Charles	34	152.4	74.8	ST	Brazil	79	79	Right	1	3	4
G. Cahill	33	193.04	88	CB	England	79	79	Right	3	3	2
A. Iwobi	22	185.42	74.8	LM,RM,LW	Nigeria	78	84	Right	1	3	4
R. Loftus-Cheek	23	190.5	88	CM,LM	England	78	85	Right	1	3	4
A. Selikhov	24	187.96	84.8	GK	Russia	78	82	Right	1	4	1
J. Mojica	26	185.42	73	LWB,LM,LB	Colombia	78	81	Left	1	2	3
W. Barrios	25	152.4	71.2	CDM,CM	Colombia	78	83	Right	1	3	3
C. Izquierdoz	30	185.42	88.9	CB	Argentina	78	78	Right	1	2	2
W. BenÃ­tez	26	190.5	91.2	GK	Argentina	78	82	Right	1	2	1
N. MaksimoviÄ‡	27	193.04	87.1	CB	Serbia	78	81	Right	2	3	2
A. MitroviÄ‡	24	187.96	82.1	ST	Serbia	78	83	Right	1	4	3
M. Sportiello	26	193.04	87.1	GK	Italy	78	80	Right	2	2	1
Capa	26	175.26	74.8	RB	Spain	78	81	Right	1	4	3
Marcelo Goiano	31	175.26	68.9	RB,LB	Brazil	78	78	Right	1	4	3
Y. Tielemans	21	175.26	72.1	CM,CDM	Belgium	78	87	Right	2	5	4
S. Lobotka	24	170.18	64	CM,CDM	Slovakia	78	84	Right	1	4	4
M. Philipp	25	182.88	78.9	ST,CF,LM,CAM	Germany	78	83	Right	2	4	4
L. Dubois	24	152.4	73	RB,RWB	France	78	82	Right	1	4	3
L. Dunk	27	193.04	88	CB	England	78	81	Right	1	3	2
C. Schindler	28	187.96	77.1	CB	Germany	78	80	Right	1	3	2
Y. Konoplyanka	29	152.4	78	LM,LW,ST	Ukraine	78	78	Right	2	3	4
Pedro Mendes	28	185.42	78	CB	Portugal	78	80	Right	1	3	2
R. Saponara	27	182.88	73	CAM	Italy	78	78	Right	2	4	4
L. Kurzawa	26	182.88	76.2	LB,LWB	France	78	81	Left	2	3	4
M. Hinteregger	26	182.88	83	CB	Austria	78	80	Left	2	3	2
D. da Costa	25	187.96	88	RWB,RB,RM	Germany	78	80	Right	1	3	3
Fernando	27	175.26	79.8	CDM,CM	Brazil	78	80	Right	1	3	3
W. Boly	28	195.58	97.1	CB	France	78	80	Right	1	4	2
A. Schwolow	26	187.96	83.9	GK	Germany	78	79	Right	1	3	1
G. Defrel	27	152.4	77.1	ST,RW	France	78	78	Left	2	3	4
Ãlvaro	29	182.88	74.8	CB	Spain	78	79	Right	1	3	2
L. Bittencourt	25	170.18	62.1	CAM,CM,LM	Germany	78	81	Right	2	4	4
A. Carrillo	27	154.94	78	RM,RW	Peru	78	78	Right	2	4	4
M. Elyounoussi	24	152.4	69.9	LM,CAM,RM	Norway	78	83	Right	1	4	4
O. Karnezis	33	190.5	81.2	GK	Greece	78	78	Right	2	3	1
De Marcos	29	182.88	79.8	RB,RW	Spain	78	78	Right	2	3	4
R. Cabella	29	170.18	71.2	CAM	France	78	78	Right	2	4	4
J. Hart	31	195.58	91.2	GK	England	78	78	Right	3	3	1
Jurado	32	175.26	72.1	RM,CAM,LM	Spain	78	78	Right	2	4	3
E. HernÃ¡ndez	30	170.18	64.9	RM	Mexico	78	78	Right	1	3	4
D. Ginczek	27	190.5	84.8	ST	Germany	78	79	Right	2	4	3
Lucas PÃ©rez	30	154.94	73	ST,RM	Spain	78	78	Left	2	4	4
J. FarfÃ¡n	34	152.4	83.9	RM,ST	Peru	78	78	Right	2	3	4
A. BegoviÄ‡	31	198.12	83	GK	Bosnia Herzegovina	78	78	Right	3	2	1
Hilton	41	154.94	78	CB	Brazil	78	78	Right	2	3	3
J. Baumgartlinger	31	182.88	86.2	CDM	Austria	78	78	Right	2	3	2
Granero	31	154.94	78	CM,LM,RM	Spain	78	78	Right	2	4	4
Z. JunuzoviÄ‡	31	172.72	72.1	CM,CAM,LM	Austria	78	78	Right	2	4	3
V. Moses	28	152.4	77.1	RW,RWB	Nigeria	78	78	Right	2	4	4
M. Debuchy	33	175.26	76.2	RB	France	78	78	Right	3	3	3
G. MaripÃ¡n	24	193.04	83	CB	Chile	77	81	Right	1	2	2
IvÃ¡n CuÃ©llar	34	187.96	76.2	GK	Spain	77	77	Left	1	2	1
F. Johnson	31	182.88	73.9	LM,RB	United States	77	77	Right	2	4	3
AarÃ³n MartÃ­n	21	154.94	72.1	LB	Spain	77	84	Left	1	3	3
G. Pereiro	23	187.96	76.2	CAM,RW	Uruguay	77	82	Left	1	2	3
B. Moukandjo	30	154.94	73.9	ST,RM	Cameroon	77	77	Right	2	3	4
M. Harnik	31	185.42	79.8	ST,RM	Austria	77	77	Right	2	4	3
J. Ward-Prowse	24	172.72	66.2	RM,CM	England	77	82	Right	2	3	3
R. Alessandrini	29	172.72	69.9	RM,LM,RW,CAM	France	78	78	Left	2	4	4
Manu GarcÃ­a	32	182.88	73.9	CDM,CM	Spain	78	78	Left	1	3	2
M. Antonio	28	152.4	82.1	ST,RM,RWB,LM	England	78	78	Right	2	3	4
Adrien Silva	29	175.26	68.9	CM,CDM	Portugal	78	78	Right	3	4	3
S. Cook	27	185.42	82.1	CB	England	78	78	Right	1	3	2
B. Mee	29	182.88	82.1	CB	England	78	78	Left	1	3	2
Adriano	34	172.72	74.8	LB,RB	Brazil	78	78	Left	2	5	4
J. Lens	31	152.4	74.8	RM,RW	Netherlands	78	78	Right	2	4	4
S. RondÃ³n	29	185.42	98	ST	Venezuela	77	77	Right	2	4	3
Andreas Pereira	23	152.4	71.2	CM,CDM,RM	Brazil	77	82	Right	1	4	4
V. IbiÅ¡eviÄ‡	34	187.96	82.1	ST	Bosnia Herzegovina	77	77	Right	2	3	3
L. Ocampos	24	187.96	83.9	LM,LW	Argentina	77	82	Right	2	3	4
N. MÃ¼ller	31	172.72	66.2	RM,LM	Germany	77	77	Right	2	3	3
SimÃ£o Acunha	31	152.4	71.2	CAM,ST,RM	Brazil	77	77	Right	1	2	4
J. Calleri	25	154.94	77.1	ST	Argentina	77	82	Right	1	2	4
A. Jahanbakhsh	25	154.94	78	RM	Iran	77	80	Right	2	4	4
A. PrijoviÄ‡	28	190.5	88	ST	Serbia	77	77	Right	1	3	3
Fabricio	31	182.88	79.8	GK	Spain	77	77	Right	1	4	1
M. Elneny	26	154.94	73.9	CDM,CM	Egypt	77	79	Right	1	3	3
Jorge MerÃ©	21	182.88	79.8	CB	Spain	77	85	Right	1	3	2
Wilson Eduardo	28	152.4	73	ST,CF	Portugal	77	77	Right	1	3	4
Ãlex Remiro	23	190.5	83	GK	Spain	77	82	Right	1	3	1
T. GutiÃ©rrez	33	152.4	81.2	ST,CAM	Colombia	77	77	Right	2	3	4
A. Pyatov	34	190.5	89.8	GK	Ukraine	77	77	Right	2	3	1
Diego Llorente	25	185.42	74.8	CB	Spain	77	83	Right	1	3	2
I. Abate	32	154.94	73	RB	Italy	77	77	Right	2	2	3
T. Vermaelen	33	182.88	79.8	CB,LB	Belgium	77	77	Left	3	3	2
N. FÃ¼llkrug	26	187.96	83	ST	Germany	77	78	Right	1	4	3
Pedro Obiang	26	185.42	74.8	CDM,CM	Equatorial Guinea	77	79	Right	2	3	3
Wallace	24	190.5	84.8	CB	Brazil	77	81	Right	2	2	2
Djaniny	27	190.5	78	ST,RW	Cape Verde	77	78	Right	1	4	4
Roberto	33	193.04	93.9	GK	Spain	77	77	Right	2	2	1
S. Tasci	31	185.42	81.2	CB	Germany	77	77	Right	2	4	3
L. SchÃ¸ne	32	152.4	78	CM,CDM	Denmark	77	77	Right	2	3	3
J. Defoe	36	170.18	64.9	ST	England	77	77	Right	2	4	3
V. Babacan	30	193.04	86.2	GK	Turkey	77	78	Right	2	2	1
O. Ighalo	29	182.88	74.8	ST	Nigeria	77	77	Right	1	3	4
A. SchÃ¼rrle	28	182.88	71.2	RW,LW	Germany	77	77	Right	3	4	3
E. Skhiri	23	185.42	68.9	CDM,CM	Tunisia	77	81	Right	1	3	3
W. Anton	22	187.96	74.8	CB,CDM	Germany	77	84	Right	1	3	3
R. Palacio	37	175.26	69.9	ST,LW	Argentina	77	77	Right	2	3	4
K. Lasagna	26	185.42	79.8	ST	Italy	77	80	Left	2	3	3
D. Cvitanich	34	175.26	72.1	ST	Argentina	77	77	Right	2	3	3
S. De Maio	32	190.5	89.8	CB	France	77	77	Right	2	3	2
S. Terodde	31	193.04	83	ST	Germany	77	77	Right	2	4	3
J. De GuzmÃ¡n	31	175.26	73.9	CM,CDM,CAM	Netherlands	77	77	Right	2	4	3
R. Civelli	35	195.58	88.9	CB	Argentina	77	77	Right	2	3	2
Pablo Maffeo	21	172.72	69.9	RWB,RM	Spain	77	84	Right	1	3	3
CÃ©dric	27	172.72	67.1	RB,RWB	Portugal	77	78	Right	2	4	3
K. Papadopoulos	27	185.42	87.1	CB	Greece	77	79	Right	2	3	2
A. Szymanowski	30	175.26	64.9	LM,CM,LW	Argentina	77	77	Left	2	3	4
J. Kucka	32	185.42	83.9	CM,CDM	Slovakia	77	77	Right	2	3	3
P. Jagielka	36	154.94	87.1	CB	England	77	77	Right	2	3	2
M. Benassi	24	182.88	79.8	CM	Italy	77	82	Right	2	3	3
P. Jansson	28	195.58	86.2	CB	Sweden	77	79	Right	1	3	2
B. Espinosa	29	193.04	83.9	CB	Colombia	77	77	Right	1	3	2
JosÃ© SÃ¡	26	193.04	84.8	GK	Portugal	77	82	Right	1	2	1
M. Sels	27	190.5	88	GK	Belgium	77	80	Right	1	2	1
Yuri Berchiche	29	154.94	79.8	LB	Spain	77	77	Left	2	3	3
R. BorrÃ©	23	175.26	71.2	ST	Colombia	77	83	Right	1	3	4
Paulinho	26	187.96	81.2	ST	Portugal	77	79	Left	1	4	3
C. Piccini	26	187.96	78.9	RB,RWB	Italy	77	79	Right	1	2	3
B. AndrÃ©	28	154.94	76.2	CM,CDM	France	77	77	Right	2	3	3
BarragÃ¡n	31	182.88	76.2	RWB,RB,RM	Spain	77	77	Right	1	3	3
M. Samatta	26	182.88	79.8	ST	Tanzania	77	80	Right	1	4	3
I. Diop	22	193.04	92.1	CB	France	77	86	Right	2	3	2
M. Lowton	29	154.94	78	RB	England	77	77	Right	1	3	2
T. HernÃ¡ndez	21	182.88	82.1	LB	France	77	85	Left	1	3	3
Juanpe	27	190.5	84.8	CB	Spain	77	78	Right	1	3	2
K. Tete	23	154.94	71.2	RB,RWB	Netherlands	77	82	Right	2	3	2
B. DÅ¾emaili	32	152.4	73	CM,CAM	Switzerland	77	77	Right	2	4	4
AndrÃ© AndrÃ©	29	175.26	64.9	CM,CDM	Portugal	77	77	Right	2	4	3
Balenziaga	31	152.4	76.2	LB	Spain	76	76	Left	1	4	3
V. Behrami	33	185.42	78	CDM,CM	Switzerland	76	76	Right	2	3	3
